SZG;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;N.Cilindro;Propriedade;Cod. Proprie;Loja Proprie;Nome Proprie;Capacidade;Dt.Fabric;Dt.Validade;Cod. Barras;Cil. Cond.;Dt.Cond.Cil.;Peso Cilindr;Org Inspetor;Bloqueado?;Fabricante;Filial Propr;Revisado?;N.Pinado Cil;N.Usado Cli.;Cod.Produto;Desc.Produto;Cod.Prod.BP3;Desc.Prod.P3;Status;Tp Embalagem;Cod.Memo 1;Dt.Inc.Cad.
1;36;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S/A;68;12/04/2019;12/04/2024;036B0068120419;Nao;  /  /  ;68,4;SBI;Não;MAT SA ;;Sim;ACV036;ACV036;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;12/04/2019
1;38;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;50;01/09/2018;01/09/2023;038C005001092018;Nao;  /  /  ;54,7;SBI;Não;MAT SA ;;Sim;38;38;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;38;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/11/2018;01/11/2023;038B0068011118;Nao;  /  /  ;80,1;SBI;Não;MAT SA ;;Sim;AEW038;AEW038;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;40;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/06/2017;01/06/2022;040C005001062017;Nao;  /  /  ;58,4;SBI;Não;MAT SA ;;Sim;40;40;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;41;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/07/2016;01/07/2021;041C005001072016;Nao;  /  /  ;61,2;SBI;Não;MAT SA ;;Sim;41;41;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;44;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;50;01/02/1979;27/09/2018;044C0050010279;Nao;27/09/2018;0;SBI;Não;MAT SA ;;Sim;44;44;MT0000024;CILINDRO CAPACIDADE 50 KGS;EM0060012;CILINDRO CAPACIDADE 50 KGS;Em Uso      ;Cilindro;;21/05/2019
1;45;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;50;01/03/2016;01/03/2021;045C0050010316;Nao;  /  /  ;63;SBI;Não;MAT SA ;;Sim;ACV045;ACV045;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;45;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S/A;68;16/04/2019;16/04/2024;045B0068160419;Nao;  /  /  ;68,6;SBI;Não;MAT SA ;;Sim;ACV045;ACV045;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;12/04/2019
1;48;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;50;01/06/2014;01/06/2019;048C005001062014;Nao;  /  /  ;56,5;SBI;Não;MAT SA ;;Sim;48;48;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;49;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/11/2018;01/11/2023;049B006801112018;Nao;  /  /  ;80,1;SBI;Não;MAT SA ;;Sim;SB049;SB049;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;50;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/10/2018;01/10/2023;050B0068011018;Nao;  /  /  ;69,8;SBI;Não;MAT SA ;;Sim;ACV050;ACV050;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;50;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;900;01/01/1984;09/11/2018;050C0900010184;Nao;09/11/2018;0;SBI;Não;CBC    ;;Sim;50;50;MT0000026;CILINDRO CAPACIDADE 900 KGS;EM0060014;CILINDRO CAPACIDADE 900 KGS;Em Uso      ;Cilindro;;21/05/2019
1;52;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;50;01/11/2018;01/11/2023;052C0050011118;Nao;  /  /  ;48,6;SBI;Não;MAT SA ;;;52;52;MT0000024;;;;Em Uso      ;Cilindro;666907;  /  /  
1;53;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/10/2018;01/10/2023;053B006801102018;Nao;  /  /  ;69,2;SBI;Não;MAT SA ;;Sim;ACV053;ACV053;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;  /  /  
1;54;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/08/2018;01/08/2023;054B006801082018;Nao;  /  /  ;67,9;SBI;Não;MAT SA ;;;ACV054;ACV054;MI0060120;;;;Em Uso      ;Cilindro;666908;  /  /  
1;59;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/03/2018;01/03/2023;059B006801032018;Nao;  /  /  ;70,9;SBI;Não;MAT SA ;;Sim;59;59;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;60074;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;50;01/06/2018;01/06/2023;060074B005001062018;Nao;  /  /  ;57,1;SBI;Não;MAT SA ;;Sim;60074;60074;MI0060121;;;;Em Uso      ;Cilindro;;  /  /  
1;6011;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/07/2015;01/07/2020;06011B0068010715;Nao;  /  /  ;63,4;SBI;Não;MAT SA ;;Sim;6011;6011;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;  /  /  
1;61;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/07/2015;01/07/2020;061B006801072015;Nao;  /  /  ;73;SBI;Não;MAT SA ;;Sim;AEW061;AEW061;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;  /  /  
1;6291;Cliente;1803;1;SERVICO AUTONOMO DE AGUA E ESGOTO  L DO NORTE;50;01/04/2017;01/04/2022;06291C005001042017;Nao;  /  /  ;58,8;SBI;Não;CILBRAS;;Sim;J06291;J06291;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;63;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/11/2008;01/11/2023;063B006801112008;Nao;  /  /  ;68,9;SBI;Não;MAT SA ;;Sim;ACV063;ACV063;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;  /  /  
1;68;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/11/2018;01/11/2023;068B006801112018;Nao;  /  /  ;68,9;SBI;Não;MAT SA ;;Sim;ACV068;ACV068;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;80;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;50;01/09/2015;01/09/2020;080C005001092015;Nao;  /  /  ;48,9;SBI;Não;MAT SA ;;Sim;80;80;MT0000024;;;;Em Uso      ;Cilindro;;  /  /  
1;82;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/08/2018;01/08/2023;082B006801082018;Nao;  /  /  ;68,3;SBI;Não;MAT SA ;;;82;82;MI0060120;;;;Em Uso      ;Cilindro;666909;  /  /  
1;86;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/08/2018;30/08/2023;086B006801082018;Nao;  /  /  ;67,2;SBI;Não;MAT SA ;;;ACV086;ACV086;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;88;Cliente;1852;1;COMPESA CIA PERNAMBUCANA DE SANEAMENTO;50;01/11/2018;01/11/2023;088C0050011118;Nao;  /  /  ;48;SBI;Não;MAT SA ;;Sim;88;88;MT0000024;CILINDRO CAPACIDADE 50 KGS;;;Em Uso      ;Cilindro;;  /  /  
1;89;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/05/2015;01/05/2020;089B006801052015;Nao;  /  /  ;76,3;SBI;Não;MAT SA ;;Sim;AEW089;AEW089;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;96;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S/A;68;12/04/2019;12/04/2024;096B0068120419;Nao;  /  /  ;72,2;SBI;Não;MAT SA ;;Sim;AAP096;AA9096;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Em Uso      ;Cilindro;;12/04/2019
1;98;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S/A;68;12/04/2019;12/04/2019;098B0068120419;Sim;06/05/2019;68,3;SBI;Sim;MAT SA ;;Sim;98;98;MI0060120;CILINDRO CAPACIDADE 68 / KG;;;Bloqueado   ;Cilindro;684778;12/04/2019
1;1001;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/05/2016;01/05/2021;1001B006801052016;Nao;  /  /  ;61,5;SBI;Não;MAT SA ;;Sim;EIU1001;EIU1001;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;1001;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/07/2017;01/07/2022;1001C0068010717;Nao;  /  /  ;63;SBI;Não;MAT SA ;;Sim;BCH1001;BCH1001;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;1002;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/11/2017;01/11/2022;1002C006801112017;Nao;  /  /  ;62,6;SBI;Não;MAT SA ;;Sim;BCH1002;BCH1002;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
1;1002;Sabara ;1940;1;SABARA QUIMICOS E INGREDIENTES S A;68;01/06/2016;01/06/2021;1002B006801062016;Nao;  /  /  ;62,3;SBI;Não;MAT SA ;;Sim;EIU1002;EIU1002;MI0060120;;;;Em Uso      ;Cilindro;;  /  /  
1;1003;Cliente;1840;1;CAGEPA CIA AGUA E ESGOTOS DA PARAIBA;68;01/02/2018;01/02/2023;1003C006801022018;Nao;  /  /  ;64,7;SBI;Não;MAT SA ;;Sim;BCH1003;BCH1003;MT0000025;;;;Em Uso      ;Cilindro;;  /  /  
